segment file,predicted label,Metric
img0_0.png,s,11827.06
img0_1.png,5,17494.52
img0_2.png,q,11207.92
img0_3.png,h,14113.09
img1_0.png,b,14049.59
img1_1.png,v,12827.2
img1_2.png,5,18335.91
img1_3.png,y,11795.31
img2_0.png,d,13525.71
img2_1.png,t,20542.57
img2_2.png,4,11366.67
img2_3.png,5,18383.53
img3_0.png,d,13462.21
img3_1.png,x,12700.2
img3_2.png,k,12096.94
img3_3.png,4,11271.42
img4_0.png,u,16272.13
img4_1.png,z,12525.57
img4_2.png,m,11446.05
img4_3.png,3,15144.98
img5_0.png,5,17954.9
img5_1.png,q,11334.92
img5_2.png,b,14414.72
img5_3.png,m,11509.55
img6_0.png,c,14017.84
img6_1.png,b,15637.12
img6_2.png,t,10366.53
img6_3.png,7,9683.9
img7_0.png,j,16526.13
img7_1.png,a,16684.88
img7_2.png,o,11287.3
img7_3.png,c,14240.09
img8_0.png,q,16176.87
img8_1.png,9,15129.11
img8_2.png,c,14208.34
img8_3.png,d,13430.46
img9_0.png,1,12541.44
img9_1.png,u,16319.75
img9_2.png,2,13716.21
img9_3.png,s,11858.81
img10_0.png,o,11255.55
img10_1.png,t,10366.53
img10_2.png,n,12128.69
img10_3.png,3,15875.24
img11_0.png,i,16224.5
img11_1.png,h,14144.84
img11_2.png,q,11049.17
img11_3.png,d,13620.96
img12_0.png,x,11715.93
img12_1.png,v,11890.56
img12_2.png,7,9858.53
img12_3.png,u,16272.13
img13_0.png,b,14351.22
img13_1.png,z,12271.56
img13_2.png,7,9810.9
img13_3.png,f,11382.55
img14_0.png,m,11477.8
img14_1.png,5,18431.16
img14_2.png,4,11303.17
img14_3.png,v,11620.68
img15_0.png,p,12668.44
img15_1.png,r,19034.42
img15_2.png,e,9699.77
img15_3.png,7,9858.53
img16_0.png,r,9826.78
img16_1.png,i,16224.5
img16_2.png,k,12128.69
img16_3.png,d,13525.71
img17_0.png,u,16129.25
img17_1.png,2,13525.71
img17_2.png,q,10985.67
img17_3.png,v,11477.8
img18_0.png,i,16034.0
img18_1.png,c,14414.72
img18_2.png,e,10080.78
img18_3.png,c,14271.84
img19_0.png,v,11430.18
img19_1.png,4,11430.18
img19_2.png,k,11969.93
img19_3.png,f,11160.3
